timestamp,syscall,direction,pid,ppid,uid,auid,comm,exe
09:58:47.074629142,socket,>,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.074649191,socket,<,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.074651676,bind,>,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.074657130,bind,<,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075126387,socket,>,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075134959,socket,<,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075148798,socket,>,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075151045,socket,<,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075158942,socket,>,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075164078,socket,<,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075178837,socket,>,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075181371,socket,<,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075188525,socket,>,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075190464,socket,<,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075197399,socket,>,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075199478,socket,<,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075256630,socket,>,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075259317,socket,<,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075277976,socket,>,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075280515,socket,<,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075298369,socket,>,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075301702,socket,<,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075318405,socket,>,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075320884,socket,<,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075327932,socket,>,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.075330203,socket,<,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.388107360,socket,>,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.388141577,socket,<,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
09:58:47.388143880,bind,>,799,1,0,-1,vmtoolsd,/usr/bin/vmtoolsd
